iter	Passed	Remaining
126	10811	74315
127	10892	74204
128	10988	74194
129	11078	74141
130	11156	74004
131	11248	73964
132	11317	73777
133	11386	73590
134	11474	73522
135	11557	73421
136	11635	73296
137	11722	73220
138	11795	73064
139	11873	72939
140	11953	72825
141	12026	72669
142	12105	72550
143	12189	72459
144	12261	72303
145	12338	72173
146	12415	72044
147	12494	71926
148	12570	71793
149	12650	71687
150	12725	71551
151	12796	71392
152	12873	71266
153	12980	71305
154	13059	71197
155	13146	71126
156	13232	71052
157	13323	71003
158	13413	70948
159	13492	70833
160	13575	70744
161	13647	70595
162	13719	70449
163	13789	70295
164	13864	70162
165	13943	70053
166	14020	69932
167	14098	69819
168	14175	69702
169	14245	69551
170	14324	69443
171	14402	69333
172	14480	69220
173	14555	69098
174	14634	68993
175	14708	68864
176	14783	68741
177	14859	68622
178	14933	68494
179	15002	68345
180	15082	68248
181	15160	68138
182	15244	68060
183	15314	67916
184	15386	67783
185	15460	67660
186	15550	67605
187	15645	67573
188	15728	67491
189	15801	67362
190	15874	67236
191	15950	67126
192	16027	67018
193	16104	66908
194	16180	66798
195	16257	66688
196	16330	66567
197	16417	66497
198	16494	66393
199	16571	66286
200	16648	66178
201	16720	66055
202	16811	66005
203	16899	65940
204	16987	65877
205	17088	65866
206	17180	65818
207	17273	65771
208	17367	65729
209	17481	65764
210	17561	65668
211	17634	65546
212	17731	65515
213	17842	65535
214	17945	65523
215	18030	65443
216	18131	65422
217	18213	65335
218	18288	65218
219	18359	65093
220	18441	65002
221	18524	64920
222	18598	64802
223	18675	64696
224	18747	64574
225	18825	64472
226	18910	64394
227	19001	64337
228	19084	64255
229	19172	64187
230	19247	64076
231	19327	63980
232	19408	63891
233	19491	63806
234	19565	63692
235	19636	63569
236	19714	63467
237	19798	63386
238	19889	63331
239	19979	63267
240	20058	63170
241	20152	63122
242	20245	63068
243	20332	62998
244	20427	62950
245	20510	62866
246	20601	62806
247	20718	62824
248	20823	62804
249	20902	62706
250	20988	62630
251	21073	62550
252	21173	62515
253	21261	62445
254	21352	62382
255	21424	62264
256	21531	62249
257	21628	62202
258	21712	62118
259	21798	62042
260	21890	61980
261	21984	61925
262	22067	61840
263	22146	61741
264	22231	61661
265	22311	61567
266	22382	61446
267	22482	61407
268	22577	61354
269	22656	61256
270	22732	61152
271	22801	61027
272	22874	60913
273	22957	60827
274	23039	60739
275	23112	60628
276	23189	60527
277	23268	60430
278	23344	60328
279	23422	60228
280	23506	60146
281	23597	60081
282	23673	59979
283	23779	59950
284	23851	59837
285	23929	59740
286	24005	59637
287	24086	59547
288	24161	59442
289	24242	59351
290	24319	59251
291	24392	59143
292	24467	59040
293	24545	58943
294	24613	58821
295	24685	58710
296	24760	58608
297	24853	58547
298	24934	58458
299	25007	58351
300	25083	58251
301	25147	58123
302	25225	58026
303	25300	57924
304	25374	57819
305	25457	57736
306	25538	57649
307	25617	57556
308	25693	57456
309	25765	57349
310	25840	57247
311	25926	57171
312	26017	57105
313	26114	57053
314	26185	56943
315	26257	56834
316	26331	56732
317	26395	56608
318	26482	56534
319	26561	56444
320	26643	56357
321	26715	56250
322	26792	56156
323	26869	56060
324	26957	55988
325	27043	55911
326	27132	55841
327	27223	55775
328	27308	55695
329	27382	55594
330	27453	55488
331	27522	55376
332	27604	55291
333	27674	55183
334	27760	55106
335	27839	55015
336	27921	54931
337	28015	54870
338	28099	54789
339	28174	54691
340	28249	54594
341	28319	54486
342	28394	54388
343	28471	54294
344	28550	54205
345	28626	54109
346	28703	54016
347	28780	53922
348	28860	53833
349	28941	53747
350	29011	53641
351	29081	53536
352	29165	53456
353	29240	53359
354	29316	53264
355	29402	53188
356	29492	53119
357	29583	53051
358	29667	52971
359	29741	52874
360	29825	52794
361	29908	52711
362	29985	52618
363	30069	52538
364	30159	52468
365	30237	52379
366	30301	52263
367	30376	52168
368	30455	52079
369	30533	51989
370	30624	51921
371	30694	51817
372	30775	51731
373	30859	51652
374	30934	51556
375	31005	51455
376	31089	51375
377	31167	51285
378	31237	51183
379	31311	51086
380	31387	50993
381	31459	50894
382	31540	50811
383	31615	50717
384	31696	50631
385	31793	50573
386	31881	50498
387	31953	50400
388	32043	50330
389	32127	50250
390	32202	50156
391	32282	50070
392	32359	49980
393	32432	49883
394	32506	49788
395	32585	49701
396	32657	49603
397	32730	49506
398	32805	49414
